행정구역(시군구)별,성별,연령별,인구 (명)
 동대문구,여자,90 - 94세,760.5
 동대문구,여자,95 - 99세,192.5
 동대문구,여자,100세 이상,31.5
 중랑구,계,계,390233
 중랑구,계,0 - 4세,11146.5
 중랑구,계,5 - 9세,12723
 중랑구,계,10 - 14세,12421
 중랑구,계,15 - 19세,15134.5
 중랑구,계,20 - 24세,23983.5
 중랑구,계,25 - 29세,31889.5
 중랑구,계,30 - 34세,28443
 중랑구,계,35 - 39세,29817.5
 중랑구,계,40 - 44세,26967.5
 중랑구,계,45 - 49세,30630.5
 중랑구,계,50 - 54세,33612.5
 중랑구,계,55 - 59세,35135
 중랑구,계,60 - 64세,32693.5
 중랑구,계,65 - 69세,22863
 중랑구,계,70 - 74세,17331
 중랑구,계,75 - 79세,13001.5
 중랑구,계,80세 이상,12440
 중랑구,계,80 - 84세,7671.5
 중랑구,계,85세 이상,4768.5
 중랑구,계,85 - 89세,3326
 중랑구,계,90 - 94세,1151
 중랑구,계,95 - 99세,256
 중랑구,계,100세 이상,35.5
 중랑구,남자,계,193105.5
 중랑구,남자,0 - 4세,5758.5
 중랑구,남자,5 - 9세,6560
 중랑구,남자,10 - 14세,6345.5
 중랑구,남자,15 - 19세,7734
 중랑구,남자,20 - 24세,12031
 중랑구,남자,25 - 29세,15796
 중랑구,남자,30 - 34세,14490.5
 중랑구,남자,35 - 39세,15576.5
 중랑구,남자,40 - 44세,14146.5
 중랑구,남자,45 - 49세,15538.5
 중랑구,남자,50 - 54세,16484.5
 중랑구,남자,55 - 59세,17305.5
 중랑구,남자,60 - 64세,15933.5
 중랑구,남자,65 - 69세,11020.5
 중랑구,남자,70 - 74세,8018.5
 중랑구,남자,75 - 79세,5838
 중랑구,남자,80세 이상,4528
 중랑구,남자,80 - 84세,3179
 중랑구,남자,85세 이상,1349
 중랑구,남자,85 - 89세,1046
 중랑구,남자,90 - 94세,251.5
 중랑구,남자,95 - 99세,48.5
 중랑구,남자,100세 이상,3
 중랑구,여자,계,197127.5
 중랑구,여자,0 - 4세,5388
 중랑구,여자,5 - 9세,6163
 중랑구,여자,10 - 14세,6075.5
 중랑구,여자,15 - 19세,7400.5
 중랑구,여자,20 - 24세,11952.5
 중랑구,여자,25 - 29세,16093.5
 중랑구,여자,30 - 34세,13952.5
 중랑구,여자,35 - 39세,14241
 중랑구,여자,40 - 44세,12821
 중랑구,여자,45 - 49세,15092
